Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
'Blueberries' Buckshot | NSWC SEAL,16.62,16.62,10.09,15.3,10.09,15.0,10.6
'Medium Rare' Crasswater | Guerrilla Warfare,35.35,35.35,22.79,34.0,22.79,39.97,22.79
'The Doctor' Romanov | Sabre,13.53,13.53,7.98,12.28,7.98,13.31,8.01
'Two Times' McCoy | TACP Cavalry,8.25,8.25,5.33,8.54,5.33,8.42,5.32
'Two Times' McCoy | USAF TACP,8.2,8.2,5.05,7.78,5.05,8.19,5.08
10 Year Birthday Sticker Capsule,1.05,1.05,0.71,0.94,0.71,1.06,0.76
1st Lieutenant Farlow | SWAT,10.48,10.48,6.31,10.5,6.31,10.44,7.15
2020 RMR Challengers,0.25,0.25,0.21,0.24,0.21,0.25,0.21
2020 RMR Contenders,0.42,0.42,0.31,0.41,0.31,0.42,0.29
2020 RMR Legends,0.24,0.24,0.16,0.24,0.16,0.24,0.18
2021 Community Sticker Capsule,1.12,1.12,0.74,1.09,0.74,1.12,0.83
3rd Commando Company | KSK,13.88,13.88,9.52,13.88,9.52,14.18,9.54
AK-47 | Aquamarine Revenge (Battle-Scarred),38.13,38.13,26.33,38.24,26.33,39.23,26.39
AK-47 | Aquamarine Revenge (Factory New),221.0,222.25,165.99,219.92,165.99,226.79,165.82
AK-47 | Aquamarine Revenge (Field-Tested),49.45,49.45,35.99,48.18,35.99,51.06,35.79
AK-47 | Aquamarine Revenge (Minimal Wear),111.55,111.55,81.16,112.78,81.16,116.66,84.99
AK-47 | Aquamarine Revenge (Well-Worn),39.15,39.15,26.52,40.9,26.52,38.43,26.54
AK-47 | Asiimov (Battle-Scarred),41.03,41.03,28.5,40.95,28.5,42.25,28.99
AK-47 | Asiimov (Factory New),305.82,305.82,218.79,305.92,218.79,312.68,219.56
AK-47 | Asiimov (Field-Tested),41.97,41.97,28.98,44.04,28.98,41.31,29.02
AK-47 | Asiimov (Minimal Wear),75.23,75.23,55.23,78.43,55.23,76.5,57.81
AK-47 | Asiimov (Well-Worn),50.94,50.94,33.99,49.59,33.99,47.0,33.98
AK-47 | B the Monster (Battle-Scarred),164.16,164.16,114.29,163.55,114.29,163.45,114.07
AK-47 | B the Monster (Factory New),1030.0,1030.0,680.07,1153.31,680.07,1147.77,678.43
AK-47 | B the Monster (Field-Tested),318.24,318.24,204.5,317.0,204.5,328.14,204.48
AK-47 | B the Monster (Minimal Wear),504.08,504.08,341.8,505.82,341.8,550.0,337.99
AK-47 | B the Monster (Well-Worn),239.82,239.82,168.27,240.0,168.27,247.97,168.03
AK-47 | Baroque Purple (Battle-Scarred),9.04,9.04,7.36,9.39,7.36,9.39,7.39
AK-47 | Baroque Purple (Factory New),25.89,25.89,16.95,25.9,16.95,26.0,17.0
AK-47 | Baroque Purple (Field-Tested),9.26,9.26,6.82,9.81,6.82,9.43,6.76
AK-47 | Baroque Purple (Minimal Wear),10.77,10.77,7.25,10.77,7.25,10.78,7.28
AK-47 | Baroque Purple (Well-Worn),9.01,9.01,6.79,9.0,6.79,9.08,6.49
AK-47 | Black Laminate (Battle-Scarred),62.63,62.63,43.27,56.61,43.27,56.75,43.27
AK-47 | Black Laminate (Factory New),235.92,235.92,189.96,237.48,189.96,235.37,201.83
AK-47 | Black Laminate (Field-Tested),55.04,55.04,38.18,56.42,38.18,56.55,37.58
AK-47 | Black Laminate (Minimal Wear),62.26,62.26,40.49,61.52,40.49,56.87,40.88
AK-47 | Black Laminate (Well-Worn),52.9,52.9,42.33,57.21,42.33,58.02,42.48
AK-47 | Bloodsport (Factory New),333.21,333.21,245.96,339.29,245.96,334.16,252.88
AK-47 | Bloodsport (Field-Tested),230.76,230.76,168.98,234.32,168.98,234.3,176.36
AK-47 | Bloodsport (Minimal Wear),262.14,262.14,187.02,259.02,187.02,254.42,188.0
AK-47 | Bloodsport (Well-Worn),217.85,217.85,160.64,230.0,160.64,230.0,163.27
AK-47 | Blue Laminate (Factory New),22.93,22.93,16.14,22.95,16.14,23.46,16.13
AK-47 | Blue Laminate (Field-Tested),18.94,18.94,13.23,18.63,13.23,19.15,13.35
AK-47 | Blue Laminate (Minimal Wear),19.1,19.1,13.75,19.34,13.75,19.58,13.75
AK-47 | Blue Laminate (Well-Worn),25.89,25.89,15.2,25.66,15.2,22.39,16.59
AK-47 | Cartel (Battle-Scarred),19.66,19.66,14.97,19.49,14.97,19.55,14.97
AK-47 | Cartel (Factory New),48.93,48.93,34.93,48.19,34.93,46.59,34.93
AK-47 | Cartel (Field-Tested),19.55,19.55,13.95,20.16,13.95,19.55,14.35
AK-47 | Cartel (Minimal Wear),24.77,24.77,17.25,24.92,17.25,23.93,17.45
AK-47 | Cartel (Well-Worn),23.95,23.95,15.5,23.74,15.5,23.62,15.5
AK-47 | Case Hardened (Battle-Scarred),250.21,250.21,181.43,250.29,181.43,250.36,181.7
AK-47 | Case Hardened (Factory New),478.7,478.7,344.25,476.21,344.25,477.56,344.99
AK-47 | Case Hardened (Field-Tested),344.0,344.0,219.2,344.0,219.2,345.0,222.74
AK-47 | Case Hardened (Minimal Wear),370.0,370.0,253.99,370.0,253.99,375.54,250.0
AK-47 | Case Hardened (Well-Worn),277.84,277.84,184.28,276.77,184.28,282.84,183.32
AK-47 | Crossfade (Battle-Scarred),1.4,1.4,0.92,1.38,0.92,1.46,0.92
AK-47 | Crossfade (Factory New),3.76,3.76,2.59,3.8,2.59,3.82,2.64
AK-47 | Crossfade (Field-Tested),1.85,1.85,1.18,1.86,1.18,1.86,1.19
AK-47 | Crossfade (Minimal Wear),2.59,2.59,1.66,2.64,1.66,2.76,1.7
AK-47 | Crossfade (Well-Worn),2.24,2.24,1.44,2.32,1.44,2.2,1.46
AK-47 | Elite Build (Battle-Scarred),1.39,1.39,0.88,1.26,0.88,1.4,0.88
AK-47 | Elite Build (Factory New),8.53,8.53,5.74,8.47,5.74,8.32,5.74
AK-47 | Elite Build (Field-Tested),1.99,1.99,1.22,1.95,1.22,2.0,1.22
AK-47 | Elite Build (Minimal Wear),3.19,3.19,2.11,3.33,2.11,3.11,2.17
AK-47 | Elite Build (Well-Worn),1.3,1.3,0.95,1.3,0.95,1.32,0.95
AK-47 | Emerald Pinstripe (Battle-Scarred),3.27,3.27,2.25,3.25,2.25,3.26,2.55
AK-47 | Emerald Pinstripe (Factory New),12.51,12.51,9.41,12.79,9.41,12.65,9.64
AK-47 | Emerald Pinstripe (Field-Tested),3.88,3.88,2.69,3.86,2.69,3.84,2.71
AK-47 | Emerald Pinstripe (Minimal Wear),6.03,6.03,4.51,6.23,4.51,6.24,4.55
AK-47 | Emerald Pinstripe (Well-Worn),3.27,3.27,2.51,3.27,2.51,3.29,2.27
AK-47 | Fire Serpent (Battle-Scarred),819.54,819.54,524.74,801.87,524.74,801.63,523.74
AK-47 | Fire Serpent (Factory New),,,2814.13,,2814.13,,2813.19
AK-47 | Fire Serpent (Field-Tested),1528.98,1528.98,865.91,1529.43,865.91,1616.52,883.9
AK-47 | Fire Serpent (Minimal Wear),,,1445.0,,1445.0,,1478.69
AK-47 | Fire Serpent (Well-Worn),,,817.98,,817.98,,850.0
AK-47 | First Class (Battle-Scarred),112.98,112.98,90.66,112.98,90.66,112.98,97.9
AK-47 | First Class (Factory New),245.07,245.07,155.45,246.68,155.45,244.49,176.1
AK-47 | First Class (Field-Tested),130.0,130.0,94.77,130.0,94.77,130.0,107.2
AK-47 | First Class (Minimal Wear),249.56,249.56,110.32,254.49,110.32,253.4,110.32
AK-47 | First Class (Well-Worn),115.95,115.95,81.45,115.0,81.45,115.95,81.45
AK-47 | Frontside Misty (Battle-Scarred),19.4,19.4,13.86,19.82,13.86,19.4,13.91
AK-47 | Frontside Misty (Factory New),109.76,109.76,81.21,111.11,81.21,108.15,79.62
AK-47 | Frontside Misty (Field-Tested),20.64,20.64,14.25,22.24,14.25,22.69,14.35
AK-47 | Frontside Misty (Minimal Wear),40.17,40.17,27.58,39.99,27.58,43.08,28.44
AK-47 | Frontside Misty (Well-Worn),20.83,20.83,13.71,21.43,13.71,20.31,14.87
AK-47 | Fuel Injector (Battle-Scarred),248.78,248.78,166.36,230.0,166.36,238.78,173.46
AK-47 | Fuel Injector (Factory New),903.99,903.99,627.27,903.99,627.27,900.84,628.38
AK-47 | Fuel Injector (Field-Tested),316.25,316.25,214.68,314.25,214.68,298.9,214.68
AK-47 | Fuel Injector (Minimal Wear),407.16,407.16,292.99,407.45,292.99,413.1,293.78
AK-47 | Fuel Injector (Well-Worn),249.98,249.98,171.83,249.98,171.83,274.25,171.78
AK-47 | Gold Arabesque (Battle-Scarred),,,1704.55,,1704.55,,1729.9
AK-47 | Gold Arabesque (Factory New),,,4531.7,,4531.7,,4762.56
AK-47 | Gold Arabesque (Field-Tested),,,2266.9,,2266.9,,2286.66
AK-47 | Gold Arabesque (Minimal Wear),,,3119.93,,3119.93,,3639.84
AK-47 | Gold Arabesque (Well-Worn),,,1922.73,,1922.73,,2018.83
AK-47 | Green Laminate (Factory New),37.74,37.74,24.84,37.49,24.84,35.26,25.34
AK-47 | Green Laminate (Field-Tested),24.06,24.06,17.18,23.89,17.18,24.58,17.91
AK-47 | Green Laminate (Minimal Wear),25.7,25.7,17.71,28.42,17.71,28.48,18.67
AK-47 | Green Laminate (Well-Worn),45.6,45.6,27.0,39.02,27.0,60.0,40.43
AK-47 | Head Shot (Battle-Scarred),5.64,5.64,4.27,5.83,4.27,5.89,4.53
AK-47 | Head Shot (Factory New),59.61,59.61,43.95,60.0,43.95,62.45,44.0
AK-47 | Head Shot (Field-Tested),8.89,8.89,6.19,9.26,6.19,9.04,6.22
AK-47 | Head Shot (Minimal Wear),18.94,18.94,13.47,19.91,13.47,19.37,13.47
AK-47 | Head Shot (Well-Worn),6.32,6.32,4.48,6.91,4.48,6.82,4.9
AK-47 | Hydroponic (Battle-Scarred),1150.0,1150.0,789.39,1150.0,789.39,1150.0,675.0
AK-47 | Hydroponic (Factory New),,,4199.99,,4199.99,,4200.0
AK-47 | Hydroponic (Field-Tested),,,1462.15,,1462.15,,1525.7
AK-47 | Hydroponic (Minimal Wear),,,2693.18,,2693.18,,2772.55
AK-47 | Hydroponic (Well-Worn),,,1118.18,,1118.18,,1157.3
AK-47 | Ice Coaled (Battle-Scarred),4.39,4.39,3.07,4.45,3.07,4.56,3.28
AK-47 | Ice Coaled (Factory New),17.67,17.67,12.64,18.3,12.64,17.95,12.38
AK-47 | Ice Coaled (Field-Tested),5.71,5.71,3.81,5.71,3.81,5.29,3.64
AK-47 | Ice Coaled (Minimal Wear),10.03,10.03,6.87,10.04,6.87,9.47,6.92
AK-47 | Ice Coaled (Well-Worn),5.69,5.69,4.21,5.91,4.21,6.26,4.44
AK-47 | Inheritance (Battle-Scarred),79.0,79.0,58.23,80.0,58.23,82.8,61.83
AK-47 | Inheritance (Factory New),255.47,255.47,190.23,253.0,190.23,261.53,193.96
AK-47 | Inheritance (Field-Tested),102.59,102.59,77.18,102.0,77.18,103.5,79.78
AK-47 | Inheritance (Minimal Wear),183.49,183.49,118.74,170.38,118.74,179.55,118.75
AK-47 | Inheritance (Well-Worn),100.09,100.09,70.76,98.68,70.76,100.07,75.01
AK-47 | Jaguar (Battle-Scarred),79.55,79.55,56.72,80.5,56.72,84.24,64.37
AK-47 | Jaguar (Factory New),451.35,451.35,285.88,454.32,285.88,443.47,314.89
AK-47 | Jaguar (Field-Tested),132.25,132.25,95.21,132.25,95.21,131.8,95.55
AK-47 | Jaguar (Minimal Wear),210.45,210.45,152.32,212.21,152.32,210.65,152.33
AK-47 | Jaguar (Well-Worn),95.84,95.84,61.36,100.0,61.36,102.35,59.87
AK-47 | Jet Set (Battle-Scarred),417.46,417.46,279.55,418.9,279.55,418.9,298.54
AK-47 | Jet Set (Factory New),1228.92,1228.92,785.45,1228.92,785.45,1228.92,781.71
AK-47 | Jet Set (Field-Tested),499.99,499.99,346.35,499.99,346.35,478.34,378.71
AK-47 | Jet Set (Minimal Wear),659.98,659.98,441.34,659.98,441.34,659.98,482.63
AK-47 | Jet Set (Well-Worn),518.5,518.5,337.63,520.67,337.63,520.67,336.36
AK-47 | Jungle Spray (Battle-Scarred),5.93,5.93,4.28,5.93,4.28,6.18,4.79
AK-47 | Jungle Spray (Factory New),156.36,156.36,108.95,154.87,108.95,153.49,125.39
AK-47 | Jungle Spray (Field-Tested),6.23,6.23,4.59,6.23,4.59,6.26,4.78
AK-47 | Jungle Spray (Minimal Wear),15.43,15.43,9.68,15.48,9.68,15.48,10.49
AK-47 | Jungle Spray (Well-Worn),6.0,6.0,5.01,6.0,5.01,5.99,4.99
AK-47 | Leet Museo (Battle-Scarred),55.82,55.82,37.9,56.42,37.9,54.86,39.13
AK-47 | Leet Museo (Factory New),450.0,450.0,311.99,450.0,311.99,450.0,311.99
AK-47 | Leet Museo (Field-Tested),104.21,104.21,69.31,104.28,69.31,107.83,71.72
AK-47 | Leet Museo (Minimal Wear),206.86,206.86,137.69,205.0,137.69,213.44,150.98
AK-47 | Leet Museo (Well-Worn),65.98,65.98,44.86,65.98,44.86,77.07,44.89
AK-47 | Legion of Anubis (Battle-Scarred),6.75,6.75,4.62,6.61,4.62,6.55,4.84
AK-47 | Legion of Anubis (Factory New),19.46,19.46,13.5,19.5,13.5,20.7,13.37
AK-47 | Legion of Anubis (Field-Tested),6.86,6.86,4.87,7.51,4.87,7.19,4.86
AK-47 | Legion of Anubis (Minimal Wear),11.12,11.12,7.55,11.7,7.55,11.92,7.68
AK-47 | Legion of Anubis (Well-Worn),9.02,9.02,5.85,9.02,5.85,8.65,6.03
AK-47 | Midnight Laminate (Battle-Scarred),18.0,18.0,13.91,17.95,13.91,17.56,17.05
AK-47 | Midnight Laminate (Factory New),73.67,73.67,62.32,80.65,62.32,81.65,76.33
AK-47 | Midnight Laminate (Field-Tested),18.08,18.08,14.45,18.29,14.45,18.01,17.98
AK-47 | Midnight Laminate (Minimal Wear),51.0,51.0,40.5,53.82,40.5,51.18,48.77
AK-47 | Midnight Laminate (Well-Worn),19.43,19.43,15.61,19.96,15.61,19.36,15.61
AK-47 | Neon Revolution (Battle-Scarred),28.9,28.9,21.36,29.64,21.36,29.58,21.89
AK-47 | Neon Revolution (Factory New),164.03,164.03,119.74,166.93,119.74,165.45,122.74
AK-47 | Neon Revolution (Field-Tested),28.72,28.72,20.54,29.01,20.54,29.7,20.53
AK-47 | Neon Revolution (Minimal Wear),46.98,46.98,36.96,49.99,36.96,48.6,36.89
AK-47 | Neon Revolution (Well-Worn),36.3,36.3,24.27,33.78,24.27,36.8,25.03
AK-47 | Neon Rider (Battle-Scarred),58.09,58.09,40.91,55.4,40.91,54.74,41.37
AK-47 | Neon Rider (Factory New),300.51,300.51,206.67,292.01,206.67,307.56,203.0
AK-47 | Neon Rider (Field-Tested),56.12,56.12,41.0,59.8,41.0,57.0,41.39
AK-47 | Neon Rider (Minimal Wear),117.95,117.95,90.04,117.78,90.04,119.83,88.08
